"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"1","Fis-10199","Actinopterygii","Perciformes","Serranidae",30.6020494401276,0.335454513503344,328.115974749407,9.94831467431191,3.0809643688083,0.573929853051853,18.5655506468338,40,"reef-associated","tropical","selective plankton feeding","fusiform_normal","LC","High",0.5,21.31,"of no interest",NA
"2","Fis-10312","Actinopterygii","Perciformes","Mullidae",32.7327859194747,0.686199533925589,604.216569113857,5.32114991643081,1.047174391534,1.19743168087912,17.9661730855095,40,"reef-associated","tropical","hunting macrofauna (predator)","fusiform_normal","LC","Medium",0.5,33.41,"commercial","medium"
"3","Fis-10405","Actinopterygii","Perciformes","Apogonidae",12.5359013840483,0.757645988989918,20.3131823694153,4.86440015897472,1.10629236295901,1.19821412908244,7.77598398439108,73,"pelagic","tropical",NA,"fusiform_normal","NE","High",0.5,11.53,NA,"high"
"4","Fis-10407","Actinopterygii","Perciformes","Apogonidae",16.1747159025822,0.764868797943606,43.393636241654,4.93418228539146,1.11968884929275,1.20377655838209,9.71130011343826,50,"reef-associated","subtropical","hunting macrofauna (predator)","short_andor_deep","NE","High",0.5,10,NA,"high"
"5","Fis-10471","Actinopterygii","Mugiliformes","Mugilidae",41.0059602722874,0.304388477548813,805.775396266695,9.06297496622062,2.41543157777351,0.555589880759829,21.1912524331785,5,"reef-associated","tropical","variable","fusiform_normal","LC","Low",1,54.09,"commercial","medium"
"6","Fis-10516","Actinopterygii","Perciformes","Blenniidae",22.1916174546873,0.437777677481808,118.795018337076,6.88085186495625,1.6704719467109,0.805042598597716,12.3290997219085,NA,"reef-associated","tropical",NA,"elongated","LC","High",0.625,19.5,NA,"unknown"
"7","Fis-10657","Actinopterygii","Perciformes","Labridae",20.440326549786,0.640450973975308,122.614878208507,5.17086212575323,1.31364190173758,1.2424444701026,11.2246346765999,15,"reef-associated","tropical","variable","fusiform_normal","LC","High",0.5,13.88,"minor commercial","very high"
"8","Fis-10690","Actinopterygii","Perciformes","Pholidae",34.2828252261418,0.360364382077494,424.140514842049,9.23374606657571,2.24015115920257,0.58476970524134,19.4528390405752,9,"demersal","subtropical","hunting macrofauna (predator)","eel_like","NE","High",0.75,24.76,NA,"unknown"
"9","Fis-10767","Actinopterygii","Pleuronectiformes","Bothidae",23.8406828916949,0.383990087899261,109.437050323054,7.86150151909915,1.67675664648251,0.570175857657146,12.1158110919998,96,"reef-associated","tropical","hunting macrofauna (predator)","short_andor_deep","LC","Medium",0.625,39.53,"minor commercial","very high"
"10","Fis-10768","Actinopterygii","Pleuronectiformes","Pleuronectidae",39.4276175836387,0.226248264194214,574.712661463493,19.0170489803987,4.7829614192728,0.269256050036207,23.817180810127,900,"demersal","temperate","hunting macrofauna (predator)","short_andor_deep","NE","Low",0.625,64.5,"commercial","high"
"11","Fis-10896","Actinopterygii","Gadiformes","Macrouridae",33.7790748720108,0.18235169422057,269.06743354979,18.1228232569773,5.1443525660383,0.31297795587451,20.9377526208266,2220,"demersal","deep-water","hunting macrofauna (predator)","elongated","LC","Low",0.5,54.74,"subsistence fisheries","medium"
"12","Fis-10903","Actinopterygii","Gadiformes","Macrouridae",33.7790748720108,0.18235169422057,269.06743354979,18.1228232569773,5.1443525660383,0.31297795587451,20.9377526208266,460,"pelagic","tropical","hunting macrofauna (predator)","elongated","NE","Medium",0.5,33.82,"of no interest",NA
"13","Fis-10950","Actinopterygii","Scorpaeniformes","Scorpaenidae",29.5936213525577,0.19895626019068,286.243813871379,10.6649097778257,2.9912377957405,0.392259289361835,14.7538703511985,15,"reef-associated","tropical",NA,"fusiform_normal","LC","Medium",0.5078,31.66,NA,"high"
