"","long","lat","loiczid"
"1",-99.75,34.75,79361
"2",-99.25,34.75,79362
"3",-98.75,34.75,79363
"4",-98.25,34.75,79364
"5",-97.75,34.75,79365
"6",-97.25,34.75,79366
"7",-96.75,34.75,79367
"8",-96.25,34.75,79368
"9",-95.75,34.75,79369
"10",-95.25,34.75,79370
"11",-94.75,34.75,79371
"12",-94.25,34.75,79372
"13",-93.75,34.75,79373
"14",-93.25,34.75,79374
"15",-92.75,34.75,79375
"16",-92.25,34.75,79376
"17",-91.75,34.75,79377
"18",-91.25,34.75,79378
"19",-90.75,34.75,79379
"20",-90.25,34.75,79380
"21",-89.75,34.75,79381
"22",-89.25,34.75,79382
"23",-88.75,34.75,79383
"24",-88.25,34.75,79384
"25",-87.75,34.75,79385
"26",-87.25,34.75,79386
"27",-86.75,34.75,79387
"28",-86.25,34.75,79388
"29",-85.75,34.75,79389
"30",-85.25,34.75,79390
"31",-84.75,34.75,79391
"32",-84.25,34.75,79392
"33",-83.75,34.75,79393
"34",-83.25,34.75,79394
"35",-82.75,34.75,79395
"36",-82.25,34.75,79396
"37",-81.75,34.75,79397
"38",-81.25,34.75,79398
"39",-80.75,34.75,79399
"40",-80.25,34.75,79400
"41",-79.75,34.75,79401
"42",-79.25,34.75,79402
"43",-78.75,34.75,79403
"44",-78.25,34.75,79404
"45",-77.75,34.75,79405
"46",-77.25,34.75,79406
"47",-76.75,34.75,79407
"48",-76.25,34.75,79408
"49",-75.75,34.75,79409
"50",-75.25,34.75,79410
"51",-74.75,34.75,79411
"52",-74.25,34.75,79412
"53",-73.75,34.75,79413
"54",-73.25,34.75,79414
"55",-72.75,34.75,79415
"56",-72.25,34.75,79416
"57",-71.75,34.75,79417
"58",-71.25,34.75,79418
"59",-70.75,34.75,79419
"60",-70.25,34.75,79420
"61",-99.75,34.25,80081
"62",-99.25,34.25,80082
"63",-98.75,34.25,80083
"64",-98.25,34.25,80084
"65",-97.75,34.25,80085
"66",-97.25,34.25,80086
"67",-96.75,34.25,80087
"68",-96.25,34.25,80088
"69",-95.75,34.25,80089
"70",-95.25,34.25,80090
"71",-94.75,34.25,80091
"72",-94.25,34.25,80092
"73",-93.75,34.25,80093
"74",-93.25,34.25,80094
"75",-92.75,34.25,80095
"76",-92.25,34.25,80096
"77",-91.75,34.25,80097
"78",-91.25,34.25,80098
"79",-90.75,34.25,80099
"80",-90.25,34.25,80100
"81",-89.75,34.25,80101
"82",-89.25,34.25,80102
"83",-88.75,34.25,80103
"84",-88.25,34.25,80104
"85",-87.75,34.25,80105
"86",-87.25,34.25,80106
"87",-86.75,34.25,80107
"88",-86.25,34.25,80108
"89",-85.75,34.25,80109
"90",-85.25,34.25,80110
"91",-84.75,34.25,80111
"92",-84.25,34.25,80112
"93",-83.75,34.25,80113
"94",-83.25,34.25,80114
"95",-82.75,34.25,80115
"96",-82.25,34.25,80116
"97",-81.75,34.25,80117
"98",-81.25,34.25,80118
"99",-80.75,34.25,80119
"100",-80.25,34.25,80120
"101",-79.75,34.25,80121
"102",-79.25,34.25,80122
"103",-78.75,34.25,80123
"104",-78.25,34.25,80124
"105",-77.75,34.25,80125
"106",-77.25,34.25,80126
"107",-76.75,34.25,80127
"108",-76.25,34.25,80128
"109",-75.75,34.25,80129
"110",-75.25,34.25,80130
"111",-74.75,34.25,80131
"112",-74.25,34.25,80132
"113",-73.75,34.25,80133
"114",-73.25,34.25,80134
"115",-72.75,34.25,80135
"116",-72.25,34.25,80136
"117",-71.75,34.25,80137
"118",-71.25,34.25,80138
"119",-70.75,34.25,80139
"120",-70.25,34.25,80140
"121",-99.75,33.75,80801
"122",-99.25,33.75,80802
"123",-98.75,33.75,80803
"124",-98.25,33.75,80804
"125",-97.75,33.75,80805
"126",-97.25,33.75,80806
"127",-96.75,33.75,80807
"128",-96.25,33.75,80808
"129",-95.75,33.75,80809
"130",-95.25,33.75,80810
"131",-94.75,33.75,80811
"132",-94.25,33.75,80812
"133",-93.75,33.75,80813
"134",-93.25,33.75,80814
"135",-92.75,33.75,80815
"136",-92.25,33.75,80816
"137",-91.75,33.75,80817
"138",-91.25,33.75,80818
"139",-90.75,33.75,80819
"140",-90.25,33.75,80820
"141",-89.75,33.75,80821
"142",-89.25,33.75,80822
"143",-88.75,33.75,80823
"144",-88.25,33.75,80824
"145",-87.75,33.75,80825
"146",-87.25,33.75,80826
"147",-86.75,33.75,80827
"148",-86.25,33.75,80828
"149",-85.75,33.75,80829
"150",-85.25,33.75,80830
"151",-84.75,33.75,80831
"152",-84.25,33.75,80832
"153",-83.75,33.75,80833
"154",-83.25,33.75,80834
"155",-82.75,33.75,80835
"156",-82.25,33.75,80836
"157",-81.75,33.75,80837
"158",-81.25,33.75,80838
"159",-80.75,33.75,80839
"160",-80.25,33.75,80840
"161",-79.75,33.75,80841
"162",-79.25,33.75,80842
"163",-78.75,33.75,80843
"164",-78.25,33.75,80844
"165",-77.75,33.75,80845
"166",-77.25,33.75,80846
"167",-76.75,33.75,80847
"168",-76.25,33.75,80848
"169",-75.75,33.75,80849
"170",-75.25,33.75,80850
"171",-74.75,33.75,80851
"172",-74.25,33.75,80852
"173",-73.75,33.75,80853
"174",-73.25,33.75,80854
"175",-72.75,33.75,80855
"176",-72.25,33.75,80856
"177",-71.75,33.75,80857
"178",-71.25,33.75,80858
"179",-70.75,33.75,80859
"180",-70.25,33.75,80860
"181",-99.75,33.25,81521
"182",-99.25,33.25,81522
"183",-98.75,33.25,81523
"184",-98.25,33.25,81524
"185",-97.75,33.25,81525
"186",-97.25,33.25,81526
"187",-96.75,33.25,81527
"188",-96.25,33.25,81528
"189",-95.75,33.25,81529
"190",-95.25,33.25,81530
"191",-94.75,33.25,81531
"192",-94.25,33.25,81532
"193",-93.75,33.25,81533
"194",-93.25,33.25,81534
"195",-92.75,33.25,81535
"196",-92.25,33.25,81536
"197",-91.75,33.25,81537
"198",-91.25,33.25,81538
"199",-90.75,33.25,81539
"200",-90.25,33.25,81540
"201",-89.75,33.25,81541
"202",-89.25,33.25,81542
"203",-88.75,33.25,81543
"204",-88.25,33.25,81544
"205",-87.75,33.25,81545
"206",-87.25,33.25,81546
"207",-86.75,33.25,81547
"208",-86.25,33.25,81548
"209",-85.75,33.25,81549
"210",-85.25,33.25,81550
"211",-84.75,33.25,81551
"212",-84.25,33.25,81552
"213",-83.75,33.25,81553
"214",-83.25,33.25,81554
"215",-82.75,33.25,81555
"216",-82.25,33.25,81556
"217",-81.75,33.25,81557
"218",-81.25,33.25,81558
"219",-80.75,33.25,81559
"220",-80.25,33.25,81560
"221",-79.75,33.25,81561
"222",-79.25,33.25,81562
"223",-78.75,33.25,81563
"224",-78.25,33.25,81564
"225",-77.75,33.25,81565
"226",-77.25,33.25,81566
"227",-76.75,33.25,81567
"228",-76.25,33.25,81568
"229",-75.75,33.25,81569
"230",-75.25,33.25,81570
"231",-74.75,33.25,81571
"232",-74.25,33.25,81572
"233",-73.75,33.25,81573
"234",-73.25,33.25,81574
"235",-72.75,33.25,81575
"236",-72.25,33.25,81576
"237",-71.75,33.25,81577
"238",-71.25,33.25,81578
"239",-70.75,33.25,81579
"240",-70.25,33.25,81580
"241",-99.75,32.75,82241
"242",-99.25,32.75,82242
"243",-98.75,32.75,82243
"244",-98.25,32.75,82244
"245",-97.75,32.75,82245
"246",-97.25,32.75,82246
"247",-96.75,32.75,82247
"248",-96.25,32.75,82248
"249",-95.75,32.75,82249
"250",-95.25,32.75,82250
"251",-94.75,32.75,82251
"252",-94.25,32.75,82252
"253",-93.75,32.75,82253
"254",-93.25,32.75,82254
"255",-92.75,32.75,82255
"256",-92.25,32.75,82256
"257",-91.75,32.75,82257
"258",-91.25,32.75,82258
"259",-90.75,32.75,82259
"260",-90.25,32.75,82260
"261",-89.75,32.75,82261
"262",-89.25,32.75,82262
"263",-88.75,32.75,82263
"264",-88.25,32.75,82264
"265",-87.75,32.75,82265
"266",-87.25,32.75,82266
"267",-86.75,32.75,82267
"268",-86.25,32.75,82268
"269",-85.75,32.75,82269
"270",-85.25,32.75,82270
"271",-84.75,32.75,82271
"272",-84.25,32.75,82272
"273",-83.75,32.75,82273
"274",-83.25,32.75,82274
"275",-82.75,32.75,82275
"276",-82.25,32.75,82276
"277",-81.75,32.75,82277
"278",-81.25,32.75,82278
"279",-80.75,32.75,82279
"280",-80.25,32.75,82280
"281",-79.75,32.75,82281
"282",-79.25,32.75,82282
"283",-78.75,32.75,82283
"284",-78.25,32.75,82284
"285",-77.75,32.75,82285
"286",-77.25,32.75,82286
"287",-76.75,32.75,82287
"288",-76.25,32.75,82288
"289",-75.75,32.75,82289
"290",-75.25,32.75,82290
"291",-74.75,32.75,82291
"292",-74.25,32.75,82292
"293",-73.75,32.75,82293
"294",-73.25,32.75,82294
"295",-72.75,32.75,82295
"296",-72.25,32.75,82296
"297",-71.75,32.75,82297
"298",-71.25,32.75,82298
"299",-70.75,32.75,82299
"300",-70.25,32.75,82300
"301",-99.75,32.25,82961
"302",-99.25,32.25,82962
"303",-98.75,32.25,82963
"304",-98.25,32.25,82964
"305",-97.75,32.25,82965
"306",-97.25,32.25,82966
"307",-96.75,32.25,82967
"308",-96.25,32.25,82968
"309",-95.75,32.25,82969
"310",-95.25,32.25,82970
"311",-94.75,32.25,82971
"312",-94.25,32.25,82972
"313",-93.75,32.25,82973
"314",-93.25,32.25,82974
"315",-92.75,32.25,82975
"316",-92.25,32.25,82976
"317",-91.75,32.25,82977
"318",-91.25,32.25,82978
"319",-90.75,32.25,82979
"320",-90.25,32.25,82980
"321",-89.75,32.25,82981
"322",-89.25,32.25,82982
"323",-88.75,32.25,82983
"324",-88.25,32.25,82984
"325",-87.75,32.25,82985
"326",-87.25,32.25,82986
"327",-86.75,32.25,82987
"328",-86.25,32.25,82988
"329",-85.75,32.25,82989
"330",-85.25,32.25,82990
"331",-84.75,32.25,82991
"332",-84.25,32.25,82992
"333",-83.75,32.25,82993
"334",-83.25,32.25,82994
"335",-82.75,32.25,82995
"336",-82.25,32.25,82996
"337",-81.75,32.25,82997
"338",-81.25,32.25,82998
"339",-80.75,32.25,82999
"340",-80.25,32.25,83000
"341",-79.75,32.25,83001
"342",-79.25,32.25,83002
"343",-78.75,32.25,83003
"344",-78.25,32.25,83004
"345",-77.75,32.25,83005
"346",-77.25,32.25,83006
"347",-76.75,32.25,83007
"348",-76.25,32.25,83008
"349",-75.75,32.25,83009
"350",-75.25,32.25,83010
"351",-74.75,32.25,83011
"352",-74.25,32.25,83012
"353",-73.75,32.25,83013
"354",-73.25,32.25,83014
"355",-72.75,32.25,83015
"356",-72.25,32.25,83016
"357",-71.75,32.25,83017
"358",-71.25,32.25,83018
"359",-70.75,32.25,83019
"360",-70.25,32.25,83020
"361",-99.75,31.75,83681
"362",-99.25,31.75,83682
"363",-98.75,31.75,83683
"364",-98.25,31.75,83684
"365",-97.75,31.75,83685
"366",-97.25,31.75,83686
"367",-96.75,31.75,83687
"368",-96.25,31.75,83688
"369",-95.75,31.75,83689
"370",-95.25,31.75,83690
"371",-94.75,31.75,83691
