"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"1","Pomadasys stridens","fusiform / normal","reef-associated",NA,68,24.63,20,"commercial","medium",0.5
"2","Albula glossodonta","fusiform / normal","reef-associated",NA,10,68.94,90,"minor commercial","unknown",0.5007
"3","Alosa alosa","fusiform / normal","pelagic-neritic",10,300,35.65,69,"minor commercial","low",0.5
"4","Cheilopogon furcatus","elongated","pelagic-oceanic",0,20,19.23,35,NA,"medium",0.5
"5","Thalassoma ascensionis","elongated","reef-associated",NA,50,22.42,10,NA,"very high",0.5
"6","Pegusa nasuta","short and / or deep","demersal",NA,NA,34.39,20,NA,"very high",0.5312
"7","Coregonus albula","fusiform / normal","benthopelagic",30,NA,26.82,48,"commercial","medium",0.5
"8","Brachaelurus waddi","elongated","reef-associated",0,140,53.95,122,NA,"unknown",1
"9","Alepocephalus triangularis","elongated","bathydemersal",1000,1140,39.21,24,NA,"unknown",0.5
"10","Rhabdosargus thorpei","short and / or deep","demersal",NA,NA,44.38,40,"commercial","very high",0.5156
"11","Saurida tumbil","elongated","reef-associated",NA,700,38.43,60,"commercial","very high",0.5
"12","Acanthopagrus berda","short and / or deep","demersal",NA,50,42.22,90,"commercial","very high",0.5
"13","Eleginus nawaga","fusiform / normal","demersal",10,NA,49.57,42,"commercial","high",0.75
"14","Scorpaenopsis oxycephala","fusiform / normal","reef-associated",NA,400,48.97,36,NA,"high",0.5
"15","Coelorinchus kishinouyei","elongated","bathydemersal",200,600,43.96,36,"minor commercial","medium",0.5
"16","Engraulis ringens","elongated","pelagic-neritic",3,80,17.09,20,"highly commercial","low",0.502
"17","Orthopristis chrysoptera","short and / or deep","demersal",10,NA,50.68,46,"minor commercial","low",0.5078
"18","Coryphaena hippurus","fusiform / normal","pelagic-neritic",0,85,39.83,210,"highly commercial","high",1
"19","Coryphaena equiselis","fusiform / normal","pelagic-oceanic",0,400,34.75,127,"minor commercial","unknown",1
"20","Abalistes stellaris","short and / or deep","demersal",40,100,44.84,60,"commercial","medium",0.625
"21","Alectis indica","short and / or deep","reef-associated",20,100,61.72,165,"commercial","medium",0.625
"22","Cephalopholis cruentata","fusiform / normal","reef-associated",0,170,33.39,42.6,"minor commercial","very high",0.5
"23","Epinephelus adscensionis","fusiform / normal","demersal",1,120,53.54,61,"highly commercial","very high",0.5
"24","Epinephelus itajara","fusiform / normal","reef-associated",0,100,69.54,250,"minor commercial","very high",0.5
"25","Epinephelus morio","fusiform / normal","reef-associated",5,330,63.98,125,"commercial","medium",0.5
"26","Epinephelus striatus","fusiform / normal","reef-associated",1,90,63.42,122,"commercial","high",0.5
"27","Balistes vetula","short and / or deep","reef-associated",2,275,36.2,60,"minor commercial","medium",0.5078
"28","Argentina sphyraena","elongated","bathydemersal",50,700,36.22,35,"minor commercial","high",0.5001
"29","Benthosema glaciale","fusiform / normal","pelagic-oceanic",0,1407,27.28,10.3,"of potential interest","high",0.5312
"30","Callionymus reticulatus","elongated","demersal",0,110,15.77,11,"of no interest","unknown",0.5
"31","Callionymus lyra","elongated","demersal",5,430,28.71,30.5,"minor commercial","unknown",0.5
"32","Clupea harengus","fusiform / normal","benthopelagic",0,364,38.77,45,"highly commercial","low",0.625
"33","Gadiculus thori","fusiform / normal","pelagic-oceanic",100,1000,15.83,15,"of no interest",NA,0.75
"34","Glyptocephalus cynoglossus","short and / or deep","demersal",18,1570,67.66,60,"commercial","high",0.625
"35","Lepidorhombus boscii","fusiform / normal","demersal",7,800,37.93,40,"minor commercial","very high",0.752
"36","Lepidorhombus whiffiagonis","fusiform / normal","bathydemersal",100,700,62.11,60,"highly commercial","very high",0.752
"37","Merlangius merlangus","fusiform / normal","benthopelagic",10,200,36.55,70,"highly commercial","medium",1
"38","Merluccius merluccius","elongated","demersal",30,1075,63.85,140,"highly commercial","high",0.5
"39","Micromesistius poutassou","elongated","bathypelagic",150,3000,33.12,50,"highly commercial","low",0.75
