Name,ID
Abalistes stellatus,3
Ablabys taenianotus,25
Aboma etheostoma,32
Abramis brama,58
Abudefduf bengalensis,65
Abudefduf concolor,66
Abudefduf declivifrons,67
Abudefduf hoefleri,68
Abudefduf notatus,70
Abudefduf saxatilis,71
Abudefduf sparoides,75
Abudefduf taurus,76
Abudefduf troschelii,77
Abudefduf whitleyi,79
Acanthaluteres spilomelanurus,116
Acantharchus pomotis,119
Acanthemblemaria aspera,134
Acanthemblemaria castroi,135
Acanthemblemaria crockeri,136
Acanthemblemaria exilispinus,137
Acanthemblemaria hancocki,139
Acanthemblemaria macrospilus,140
Acanthemblemaria maria,141
Acanthemblemaria spinosa,142
Acanthistius ocellatus,163
Acanthistius pictus,164
Acanthistius sebastoides,165
Acanthocepola abbreviata,173
Acanthochromis polyacanthus,182
Acanthoclinus littoreus,183
Acanthogobius flavimanus,194
Acantholabrus palloni,208
Acantholumpenus mackayi,212
Acanthonus armatus,223
Acanthopagrus akazakii,225
Acanthopagrus arabicus,226
Acanthopagrus australis,227
Acanthopagrus butcheri,230
Acanthopagrus catenula,231
Acanthopagrus longispinnis,234
Acanthopagrus morrisoni,235
Acanthopagrus pacificus,236
Acanthopagrus palmaris,237
Acanthopagrus randalli,238
Acanthopagrus sheim,240
Acanthopagrus sivicolus,241
Acanthopagrus vagus,243
Acanthopsetta nadeshnyi,255
Acanthostracion guineensis,269
Acanthostracion polygonius,270
Acanthostracion quadricornis,271
Acanthurus albipectoralis,274
Acanthurus auranticavus,275
Acanthurus bariene,277
Acanthurus chirurgus,279
Acanthurus coeruleus,280
Acanthurus fowleri,282
Acanthurus grammoptilus,284
Acanthurus japonicus,286
Acanthurus leucocheilus,287
Acanthurus leucopareius,288
Acanthurus leucosternon,289
Acanthurus nigroris,297
Acanthurus polyzona,300
Acanthurus reversus,302
Acanthurus tennentii,304
Acanthurus thompsoni,305
Acanthurus tristis,307
Acentrogobius caninus,373
Acentrogobius janthinopterus,374
Acentrogobius nebulosus,375
Acentrogobius suluensis,376
Acentrogobius viridipunctatus,377
Achirus achirus,413
Achirus declivis,414
Achirus lineatus,416
Achirus mazatlanus,417
Achirus scutum,418
Achoerodus gouldii,424
Achoerodus viridis,425
Acipenser brevirostrum,441
Acipenser fulvescens,442
Acipenser oxyrinchus,443
Acreichthys tomentosus,494
Acropoma japonicum,538
Acyrtus artius,816
Acyrtus rubiginosus,817
Adelotremus leptus,838
Adinia xenica,855
Adventor elongatus,868
Aeoliscus punctulatus,902
Aetapcus maculatus,926
Aetomylaeus nichofii,960
Agonopsis chiloensis,1099
Agonopsis vulsa,1101
Agonostomus monticola,1112
Agonus cataphractus,1124
Agrostichthys parkeri,1154
Ahlia egmontis,1175
Ahliesaurus berryi,1176
Aidablennius sphynx,1184
Akarotaxis nudiceps,1216
Alabes dorsalis,1234
Albatrossia pectoralis,1251
Albula argentea,1253
Albula esuncula,1254
Albula nemoptera,1256
Albula neoguinaica,1257
Albula oligolepis,1258
Albula virgata,1259
Aldrichetta forsteri,1306
Aldrovandia affinis,1307
Aldrovandia gracilis,1308
Aldrovandia phalacra,1310
Alepes apercna,1333
Alepes kleinii,1335
Alepes melanoptera,1336
Alepisaurus brevirostris,1337
Alepocephalus antipodianus,1340
Alepocephalus australis,1341
Alepocephalus bicolor,1343
Alepocephalus productus,1344
Alepocephalus tenebrosus,1346
Alertichthys blacki,1347
Alionematichthys riukiuensis,1366
Allenbatrachus grunniens,1383
Alloblennius anuchalis,1407
Alloblennius frondiculus,1408
Alloblennius jugularis,1409
Alloblennius parvus,1410
Alloblennius pictus,1411
Allocyttus folletti,1415
Allocyttus verrucosus,1417
Allomycterus pilatus,1426
Allosmerus elongatus,1433
Alphestes afer,1473
Alphestes immaculatus,1474
Alphestes multiguttatus,1475
Alticus anjouanae,1515
Alticus arnoldorum,1516
Alticus kirkii,1517
Alticus monochrus,1519
Alticus montanoi,1520
Alticus saliens,1522
Alticus sertatus,1523
Alticus simplicirrus,1524
Aluterus heudelotii,1527
Aluterus monoceros,1528
Aluterus schoepfii,1529
Ambassis agrammus,1673
Ambassis ambassis,1674
Ambassis dussumieri,1676
Ambassis gymnocephalus,1677
Ambassis interrupta,1678
Ambassis jacksoniensis,1679
Ambassis miops,1680
Ambassis nalua,1681
Ambassis natalensis,1682
Ambassis urotaenia,1683
Ambassis vachellii,1684
Ambiserrula jugosa,1686
Ambloplites ariommus,1688
Amblycirrhitus bimacula,1690
Amblycirrhitus pinos,1691
Amblyeleotris fasciata,1692
Amblyeleotris guttata,1693
Amblyeleotris steinitzi,1694
Amblyeleotris wheeleri,1695
Amblyglyphidodon aureus,1697
Amblyglyphidodon indicus,1699
Amblyglyphidodon leucogaster,1700
Amblygobius albimaculatus,1701
Amblygobius bynoensis,1702
Amblygobius decussatus,1703
Amblygobius linki,1704
Amblygobius nocturnus,1705
Amblygobius semicinctus,1707
Amblygobius sphynx,1708
Amblygobius tekomaji,1709
Amblypomacentrus breviceps,1712
Amblyraja doellojuradoi,1714
Amblyraja jenseni,1717
Amblyraja radiata,1718
Amblyrhynchotes honckenii,1719
Ambophthalmos angustus,1722
Ameiurus natalis,1732
Ameiurus nebulosus,1733
Ammocrypta bifascia,1775
Ammodytes dubius,1791
Ammodytes hexapterus,1792
Ammodytes marinus,1793
Ammodytes tobianus,1795
Ammolabrus dicrus,1799
Ammotretis rostratus,1828
Amniataba caudavittata,1831
Amoya madraspatensis,1834
Amoya moloanus,1835
Amoya signata,1836
Amphelikturus dendriticus,1921
Amphiarius rugispinis,1925
Amphichaetodon howensis,1948
Amphichaetodon melbae,1949
Amphilophus macracanthus,2005
Amphilophus robertsoni,2006
Amphiprion akallopisos,2073
Amphiprion akindynos,2074
Amphiprion allardi,2075
Amphiprion bicinctus,2076
Amphiprion chrysogaster,2077
Amphiprion chrysopterus,2078
Amphiprion clarkii,2079
Amphiprion ephippium,2080
Amphiprion frenatus,2081
Amphiprion melanopus,2083
Amphiprion nigripes,2084
Amphiprion percula,2085
Amphiprion perideraion,2086
Amphiprion polymnus,2087
Amphiprion rubrocinctus,2088
Amphiprion sandaracinos,2089
Amphistichus argenteus,2126
Amsichthys knighti,2200
Anabas testudineus,2214
Anableps anableps,2218
Anableps dowei,2219
Anacanthobatis americanus,2229
Anacanthobatis folirostris,2230
Anacanthus barbatus,2232
Anampses chrysocephalus,2270
Anampses cuvier,2271
Anampses elegans,2272
Anampses femininus,2273
Anampses geographicus,2274
Anampses lennardi,2275
Anampses lineatus,2276
Anampses melanurus,2277
Anampses meleagrides,2278
Anampses neoguinaicus,2279
Anampses twistii,2280
Anarchias allardicei,2295
Anarchias galapagensis,2296
Anarchias leucurus,2297
Anarchias seychellensis,2298
Anarchias similis,2299
Anarchopterus criniger,2300
Anarhichas orientalis,2305
Anarrhichthys ocellatus,2306
Anchichoerops natalensis,2356
Anchoa argentivittata,2362
Anchoa cayorum,2363
Anchoa cubana,2365
Anchoa curta,2366
Anchoa eigenmannia,2368
Anchoa exigua,2369
Anchoa helleri,2370
Anchoa ischana,2372
Anchoa lamprotaenia,2373
Anchoa lucida,2374
Anchoa lyolepis,2375
Anchoa panamensis,2379
Anchoa starksi,2382
Anchoa walkeri,2383
Anchovia clupeoides,2384
Anchovia macrolepidota,2385
Anchovia surinamensis,2386
Anchoviella cayennensis,2388
Anchoviella lepidentostole,2389
Anchoviella perfasciata,2390
Ancylopsetta cycloidea,2426
Ancylopsetta dendritica,2427
Ancylopsetta dilecta,2428
Ancylopsetta ommata,2430
Andamia amphibius,2432
Andamia cyclocheilus,2433
Andamia expansa,2434
Andamia heteroptera,2435
Andamia pacifica,2436
Andamia reyi,2437
Andamia tetradactylus,2438
Anguilla dieffenbachii,2479
Anguilla marmorata,2481
Anguilla mossambica,2482
Anguilla obscura,2483
Anisarchus medius,2493
Anisochromis kenyae,2494
Anisotremus caesius,2503
Anisotremus davidsonii,2504
Anisotremus dovii,2505
Anisotremus interruptus,2506
Anisotremus pacifici,2507
Anisotremus scapularis,2508
Anisotremus surinamensis,2509
Anisotremus taeniatus,2510
Anisotremus virginicus,2511
Anoplagonus inermis,2590
Anoplarchus purpurescens,2591
Anoplocapros inermis,2592
Anoplocapros lenticularis,2593
Anoplogaster cornuta,2604
Anotopterus pharao,2612
Anoxypristis cuspidata,2623
Antennablennius adenensis,2652
Antennablennius australis,2653
Antennablennius bifilum,2654
Antennablennius ceylonensis,2655
Antennablennius hypenetes,2656
Antennablennius simonyi,2658
Antennablennius variopunctatus,2659
Antennarius commerson,2662
Antennarius hispidus,2663
Antennarius multiocellatus,2664
Antennarius pardalis,2665
Antennarius pauciradiatus,2666
Antennarius pictus,2667
Antennarius striatus,2668
Antennatus dorehensis,2670
Antennatus nummifer,2671
Antennatus sanguineus,2672
Antennatus strigatus,2673
Antennatus tuberosus,2674
Anthias helenensis,2691
Anthias nicholsi,2692
Anthias woodsi,2694
Antigonia capros,2766
Antigonia combatia,2767
Antigonia eos,2768
Antigonia malayana,2769
Antigonia rhomboidea,2770
Antigonia rubescens,2771
Antigonia rubicunda,2772
Antimora microlepis,2782
Anyperodon leucogrammicus,2825
Apeltes quadracus,2863
Aphos porosus,2922
Aphyonus gelatinosus,2940
Apionichthys dumerili,2944
Apistus carinatus,2954
Apletodon dentatus,2956
Apletodon pellegrini,2957
Aploactis aspera,2977
Aploactisoma milesii,2978
Aplocheilus lineatus,2980
Aplocheilus panchax,2981
Aplodactylus arctidens,2984
Apocryptodon madurensis,3006
Apodichthys flavidus,3009
Apodichthys fucorum,3010
Apogon affinis,3014
Apogon americanus,3016
Apogon atradorsatus,3017
Apogon atricaudus,3018
Apogon aurolineatus,3019
Apogon binotatus,3020
Apogon bryx,3021
Apogon campbelli,3022
Apogon capricornis,3023
Apogon carinatus,3024
Apogon caudicinctus,3025
Apogon crassiceps,3027
Apogon dianthus,3028
Apogon doederleini,3029
Apogon doryssa,3030
Apogon dovii,3031
Apogon ellioti,3032
Apogon erythrinus,3033
Apogon evermanni,3035
Apogon hyalosoma,3036
Apogon imberbis,3037
Apogon indicus,3038
Apogon kiensis,3040
Apogon lachneri,3041
Apogon limenus,3042
Apogon lineatus,3043
Apogon maculatus,3044
Apogon multitaeniatus,3046
Apogon nigrofasciatus,3047
Apogon pacificus,3049
Apogon phenax,3050
Apogon planifrons,3052
Apogon poecilopterus,3053
Apogon pseudomaculatus,3054
Apogon quadrisquamatus,3055
Apogon retrosella,3056
Apogon sangiensis,3058
Apogon semilineatus,3059
Apogon semiornatus,3060
Apogon septemstriatus,3061
Apogon smithi,3062
Apogon striatus,3063
Apogon townsendi,3064
Apogon truncatus,3066
Apogon unicolor,3067
Apogon unitaeniatus,3068
Apogonichthyoides brevicaudatus,3069
Apogonichthyoides melas,3070
Apogonichthyoides niger,3071
Apogonichthyoides nigripinnis,3072
Apogonichthyoides taeniatus,3073
Apogonichthyoides timorensis,3074
Apogonichthys perdix,3076
Apogonops anomalus,3077
Apolemichthys arcuatus,3081
Apolemichthys griffisi,3082
Apolemichthys guezei,3083
Apolemichthys kingi,3084
Apolemichthys trimaculatus,3085
Apolemichthys xanthopunctatus,3086
Apolemichthys xanthotis,3087
Apolemichthys xanthurus,3088
Aporops bilinearis,3104
Apristurus albisoma,3118
Apristurus aphyodes,3119
Apristurus brunneus,3120
Apristurus exsanguis,3121
Apristurus laurussonii,3122
Apristurus longicephalus,3123
Apristurus macrorhynchus,3124
Apristurus microps,3125
Apristurus parvipinnis,3126
Apristurus platyrhynchus,3127
Apristurus riveri,3129
Apristurus saldanha,3130
Apterichtus caecus,3145
Aptocyclus ventricosus,3150
Aptychotrema rostrata,3151
Aptychotrema vincentiana,3152
Archamia biguttata,3230
Archamia bleekeri,3231
Archamia fucata,3232
Archamia leai,3233
Archamia macroptera,3234
Archamia zosterophora,3235
Archosargus pourtalesii,3267
Arcos erythrops,3279
Arcos poecilophthalmos,3280
Arcos rhodospilus,3281
Arctogadus borisovi,3308
Arctogadus glacialis,3309
Arctozenus risso,3320
Arcygobius baliurus,3328
Argentina aliceae,3373
Argentina australiae,3374
Argentina brucei,3375
Argentina elongata,3377
Argentina euchus,3378
Argentina georgei,3379
Argentina kagoshimae,3380
Argentina sialis,3381
Argentina striata,3384
Argyripnus iridescens,3430
Argyropelecus aculeatus,3431
Argyropelecus affinis,3432
Argyropelecus gigas,3433
Argyropelecus hemigymnus,3434
Argyropelecus lychnus,3435
Argyropelecus olfersii,3436
Argyropelecus sladeni,3437
Argyrops bleekeri,3441
Argyrops filamentosus,3442
Argyrops megalommatus,3443
Argyrosomus inodorus,3446
Argyrosomus japonicus,3447
Argyrosomus thorpei,3449
Arhynchobatis asperrimus,3453
Ariomma bondi,3502
Ariomma luridum,3504
Ariomma melanum,3505
Ariomma regulus,3506
Ariopsis felis,3507
Ariopsis seemanni,3509
Ariosoma anago,3510
Ariosoma balearicum,3511
Ariosoma gilberti,3512
Ariosoma marginatum,3513
Ariosoma mauritianum,3514
Ariosoma scheelei,3515
Ariosoma selenops,3516
Aristostomias grimaldii,3540
Aristostomias lunifer,3541
Aristostomias polydactylus,3542
Aristostomias scintillans,3543
Aristostomias tittmanni,3544
Aristostomias xenostoma,3545
